Time,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Redundant,Toplist Count,Toplist Domains,Query Count,Saved
00:35:18 20-03-24,Google Search,Reloading supplies for any kind of shooter. Offering high-quality reloading products at affordable p...,3,2,0,0,0,0,,0,no
00:35:18 20-03-24,Google Search,"After all, we know the sheer joy that can come with owning your own exotic pet, whether it is a bear...",7,4,0,0,0,0,,0,no
00:35:18 20-03-24,Google Search,"With over 15 years of experience in the moving industry, we have the expertise and knowledge to hand...",32,31,0,0,0,0,,0,no
00:35:18 20-03-24,scam.delivery,scam.delivery,79,0,0,0,0,0,,0,no
00:35:18 20-03-24,scam.directory,scam.directory,1251,0,1,0,0,0,,0,no
03:45:45 20-03-24,Google Search,Reloading supplies for any kind of shooter. Offering high-quality reloading products at affordable p...,3,2,0,0,0,0,,0,no
03:45:45 20-03-24,Google Search,Satisfaction is our #1 Operational Goal and we tirelessly work to meet or exceed our Customer Key Re...,10,4,1,0,0,0,,0,no
03:45:45 20-03-24,Google Search,Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...,44,1,0,0,0,0,,0,no
03:45:45 20-03-24,Google Search,committed to the progress of sustainability within our business practices. With consistent evaluatio...,100,4,0,0,0,0,,0,no
03:45:45 20-03-24,Google Search,is your global online store that delivers latest fashion apparel for you! Thousands of products in d...,27,0,0,0,0,0,,0,no
03:45:45 20-03-24,aa419.org,aa419.org,4260,12,16,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,"After all, we kyesw the sheer joy that can come with owning your own exotic pet, whether it is a bear...",7,4,0,0,0,0,,0,no
03:45:45 20-03-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",49,0,1,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",82,1,0,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,"It all started back in 1997, it was just plain hard work and a passion for serving Customers that go...",2,0,0,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",99,2,0,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,Reloading supplies for any kind of shooter. Offering high-quality reloading products at affordable p...,3,2,0,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,Satisfaction is our #1 Operational Goal and we tirelessly work to meet or exceed our Customer Key Re...,10,4,1,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...,44,1,0,0,0,0,,0,yes
