Timestamp,Event,Domain,Source
09:50:21 08-04-24,dead,delivery-id.website,raw
09:50:21 08-04-24,dead,delivery-mail-cast.management,raw
09:50:21 08-04-24,dead,detedeal.com,raw
09:50:21 08-04-24,dead,dewemalls.com,raw
09:50:21 08-04-24,dead,diarw.com,raw
09:50:21 08-04-24,dead,dinual.com,raw
09:50:21 08-04-24,dead,diptyqueparisoutlet.xyz,raw
09:50:21 08-04-24,dead,discountcigarettesnow.com,raw
09:50:21 08-04-24,dead,do-inposdomdeliveryc.top,raw
09:50:21 08-04-24,dead,dobermannpups.com,raw
09:50:21 08-04-24,dead,dogecoin20app.click,raw
09:50:21 08-04-24,dead,doussales.com,raw
09:50:21 08-04-24,dead,downtownpoodles.com,raw
09:50:21 08-04-24,dead,dragoncouriers.com,raw
09:50:21 08-04-24,dead,ecogreeninvestments.xyz,raw
09:50:21 08-04-24,dead,elitedeliveryexpress.com,raw
09:50:21 08-04-24,dead,epexotics.com,raw
09:50:21 08-04-24,dead,evri-cc.bond,raw
09:50:21 08-04-24,dead,evri-client.xyz,raw
09:50:21 08-04-24,dead,evri-nf.top,raw
09:50:21 08-04-24,dead,evri-s.autos,raw
09:50:21 08-04-24,dead,evri-s.boats,raw
09:50:21 08-04-24,dead,evri-s.mom,raw
09:50:21 08-04-24,dead,evri-s.rest,raw
09:50:21 08-04-24,dead,evri-serveyou.xyz,raw
09:50:21 08-04-24,dead,extension-coinbase.com,raw
09:50:21 08-04-24,dead,extrapayhub.com,raw
09:50:21 08-04-24,dead,facebookshareprice.club,raw
09:50:21 08-04-24,dead,factory.bicycle.com,raw
09:50:21 08-04-24,dead,factoryoutletsdeals.vip,raw
09:50:21 08-04-24,dead,fastlinkcarriers.com,raw
09:50:21 08-04-24,dead,firearms.arizona.com,raw
09:50:21 08-04-24,dead,firearmsammunitiondepot.com,raw
09:50:21 08-04-24,dead,freightgloballogistics.com,raw
09:50:21 08-04-24,dead,frontlinesc.com,raw
09:50:21 08-04-24,dead,funshihtzepuppies.com,raw
09:50:21 08-04-24,dead,gadgetstoretoday.com,raw
09:50:21 08-04-24,dead,genuinegrouplogistics.com,raw
09:50:21 08-04-24,dead,geoo714logistics.com,raw
09:50:21 08-04-24,dead,gerryvenomshop.com,raw
09:50:21 08-04-24,dead,getcarspareparts.com,raw
09:50:21 08-04-24,dead,globaleasybanking.com,raw
09:50:21 08-04-24,dead,globeflightlogistics.com,raw
09:50:21 08-04-24,dead,gobendeals.com,raw
09:50:21 08-04-24,dead,goldhyipinvest.com,raw
09:50:21 08-04-24,dead,gomining.cloud,raw
09:50:21 08-04-24,dead,googledmjv.xyz,raw
09:50:21 08-04-24,dead,googleplayan.com,raw
09:50:21 08-04-24,dead,goplaygoogle8u14.com,raw
09:50:21 08-04-24,dead,goplaygoogle8u32.com,raw
09:50:21 08-04-24,dead,gpc-syria.com,raw
09:50:21 08-04-24,dead,gracecanecorso.paradise.com,raw
09:50:21 08-04-24,dead,gymsharkatonline.com,raw
09:50:21 08-04-24,dead,happypuppiesuniverse.com,raw
09:50:21 08-04-24,dead,heavenlystbernardpuppies.com,raw
09:50:21 08-04-24,dead,heimgruee.com,raw
09:50:21 08-04-24,dead,hl-usps.top,raw
09:50:21 08-04-24,dead,homeestore.net,raw
09:50:21 08-04-24,dead,inatbox-indir-apk.xyz,raw
09:50:21 08-04-24,dead,investment-mastermind.info,raw
09:50:21 08-04-24,dead,ioniancourier.com,raw
09:50:21 08-04-24,dead,irockstudio.com,raw
09:50:21 08-04-24,dead,isbankasi-turkiye.com,raw
09:50:21 08-04-24,dead,joyfullabradorpups.com,raw
09:50:21 08-04-24,dead,judybritishkitts.com,raw
09:50:21 08-04-24,dead,jule-sidene.com,raw
09:50:21 08-04-24,dead,keen-osterreich.com,raw
09:50:21 08-04-24,dead,kerlinemkt.de,raw
09:50:21 08-04-24,dead,kinvarainvestments.com,raw
09:50:21 08-04-24,dead,kor-bigshineworldwide.com,raw
09:50:21 08-04-24,dead,kyc-page-coinbase.com,raw
09:50:21 08-04-24,dead,laniganinvestments.com,raw
09:50:21 08-04-24,dead,laradachshund.com,raw
09:50:21 08-04-24,dead,liftspeedcourier.com,raw
09:50:21 08-04-24,dead,littletikestore.shop,raw
09:50:21 08-04-24,dead,livestockandexotics.com,raw
09:50:21 08-04-24,dead,lovely.teacupyorkies.com,raw
09:50:21 08-04-24,dead,lovingitaliangreyhoundpups.com,raw
09:50:21 08-04-24,dead,lr-usps.top,raw
09:50:21 08-04-24,dead,luminar-official.org,raw
09:50:21 08-04-24,dead,mainstreamdiscounts.com,raw
09:50:21 08-04-24,dead,majestymonkeyshome.com,raw
