Timestamp,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Parked,Toplist,Queries,Status
17:15:10 10-04-24,aa419.org,,500,0,0,22,35,0,,saved
17:15:10 10-04-24,guntab.com,,1810,0,0,262,82,0,,saved
17:15:10 10-04-24,petscams.com,,208,0,0,12,2,0,,saved
17:15:10 10-04-24,scam.directory,,300,0,0,62,154,0,,saved
17:15:10 10-04-24,scamadviser.com,,64,0,3,15,7,0,,saved
17:15:10 10-04-24,stopgunscams.com,,75,0,0,2,0,0,,saved
17:15:10 10-04-24,Google Search,"committed to the progress of sustainability within our business practices. With consistent evaluatio...",99,8,0,0,0,0,10,saved
17:15:10 10-04-24,Google Search,"we got you covered with highly professional suppliers and production houses that we keep in close co...",99,2,0,0,0,0,10,saved
17:15:10 10-04-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",99,3,0,0,1,0,10,saved
17:15:10 10-04-24,Google Search,"We have spent years searching for creative, smart, and useful products around the world and bring th...",100,7,0,0,1,0,10,saved
17:15:10 10-04-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",85,6,0,0,0,0,10,saved
17:15:10 10-04-24,Google Search,"Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...",45,0,0,0,0,0,5,saved
17:15:10 10-04-24,Google Search,"Your satisfaction is our service purpose, if you have any question or need help, please feel free to...",42,1,0,0,0,0,6,saved
17:15:10 10-04-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",47,2,0,1,0,0,5,saved
17:15:10 10-04-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",73,3,5,0,0,0,10,saved
17:15:10 10-04-24,Google Search,"is the global leading online retailer for tops, bottoms and dresses. Our dedicated fashion buyers, w...",59,1,0,0,0,0,7,saved
17:15:10 10-04-24,Google Search,"The shipment of your product is our highest priority and everyday we dispatch hundreds of products t...",96,14,0,1,8,0,10,saved
17:15:10 10-04-24,Google Search,"We love cannabis for its wonderful properties which is exactly why we offer the services that we do....",39,0,1,1,0,0,5,saved
17:15:10 10-04-24,Google Search,"Since 2007 we have been delivering excellence in product development, support & updates for friction...",0,0,0,0,0,0,1,error: empty
17:15:10 10-04-24,Google Search,"your number one source for all things cosmetic and personal care product....",36,0,0,1,2,0,10,saved
17:15:10 10-04-24,Google Search,"is a global comprehensive cryptocurrency trading platform that provides major mainstream cryptocurre...",5,0,0,0,0,0,1,saved
17:15:10 10-04-24,Google Search,"Originated from the thinking of beauty. Different curves have different aesthetic feelings. Customiz...",8,0,0,0,0,0,1,saved
17:15:10 10-04-24,Google Search,"We put customer satisfaction at the forefront of our business! We understand there is no business wi...",5,0,0,0,0,1,9,saved
17:15:10 10-04-24,Google Search,"In this fast-paced world, we all enjoy comfort and convenience in almost everything. We love being c...",96,0,0,0,0,0,10,saved
